front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7394147,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7395153,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7395942,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7396586,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.73972,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7397847,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7398481,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7399094,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.739975,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7400393,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7401156,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7401938,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7402616,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.740325,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7403874,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7405581,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7406464,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.740709,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7408736,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7410417,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7411144,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7411783,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7412567,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7413237,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7413883,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7414508,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7415137,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7415752,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.741639,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.741701,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7417727,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.741834,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7418966,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7419581,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7420344,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7420962,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.742159,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7422214,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7423084,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7423768,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7424588,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.742523,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.742584,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7426445,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.742708,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.74277,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7428308,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7428916,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.742955,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7430165,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.743078,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7431383,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.743213,0.0,0.0
131.0,51.0,-0.2070062152423978,500,-80.0,-0.3893167218331408,292.9937847576022,1642517592.7432761,0.0,0.0
