front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5846436,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.584716,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5847893,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5848613,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5849345,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5850053,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.585078,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5851495,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.585236,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5853148,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5853913,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5854647,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.585544,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5856164,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5856903,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.585805,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5858824,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5859547,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5860271,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5860977,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.58617,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5862532,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.58632,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5863822,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5864437,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5865033,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5865648,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5866237,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5866864,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5867453,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.586806,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5868642,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.586925,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5869834,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5870452,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5871048,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5871716,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5872314,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.587303,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5873682,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5874314,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.587491,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5875528,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5876117,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5876722,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.587731,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5877922,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5878506,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.587912,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5879712,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5880325,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5880904,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5881503,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5882092,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5882697,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5883403,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.588408,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5884693,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5885317,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5885916,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.588653,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5887122,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5887737,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5888698,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5889325,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5889926,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.60475,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6048574,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6049712,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6050627,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.605139,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6052177,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6052954,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6053746,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6054492,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6055677,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6056616,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6057723,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6058831,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6059637,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6060421,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6061354,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.606213,0.0,0.0
