front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.113141,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1132588,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.113348,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1134365,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1135185,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.113608,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.113691,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1138215,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1139402,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1140444,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1141655,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1142662,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1143699,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1144674,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1145685,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1146705,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1147695,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1148682,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.114972,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1150792,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1151922,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1152847,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1153681,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1154528,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1155348,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.115621,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1157038,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1157897,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1158729,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1159577,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1160405,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1161323,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1162298,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1163182,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.116402,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1164865,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1165695,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.116656,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.116739,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1168244,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1169283,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.117014,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1170964,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1171892,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.1172867,0.0,0.0
600.0,581.0,0.25490196118771213,500,-19.0,-0.09712929786810859,754.9019611877121,1642517290.117375,0.0,0.0
