Full Time,19.203208446502686
Full Distance,2508
Base Speed,2.5
nt,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1644503389.983243,415.0,352.0,0.06138855719943024,500.0,-63.0,-0.31249155973451914,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
1,1644503389.9984128,415.0,352.0,0.06138855719943024,500.0,-63.0,-0.31249155973451914,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
2,1644503390.000785,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
3,1644503390.0081124,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
4,1644503390.0115025,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
5,1644503390.020604,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
6,1644503390.0235205,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
7,1644503390.026739,411.0,350.0,0.06252156623471876,500.0,-61.0,-0.30317683916959465,562.5215662347188,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
8,1644503390.0294907,411.0,350.0,0.06191661786596899,500.0,-61.0,-0.30317683916959465,561.916617865969,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
9,1644503390.037445,411.0,353.0,0.06191661786596899,500.0,-58.0,-0.28910274986199147,561.916617865969,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
10,1644503390.0559614,410.0,353.0,0.06191661786596899,500.0,-57.0,-0.28438477659385886,561.916617865969,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
11,1644503390.0643325,410.0,353.0,0.06191661786596899,500.0,-57.0,-0.28438477659385886,561.916617865969,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
12,1644503390.0835907,410.0,353.0,0.06138855719943024,500.0,-57.0,-0.28438477659385886,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
13,1644503390.093036,410.0,353.0,0.06138855719943024,500.0,-57.0,-0.28438477659385886,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
14,1644503390.1126685,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
15,1644503390.1212294,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
16,1644503390.1335258,411.0,350.0,0.06138855719943024,500.0,-61.0,-0.30317683916959465,561.3885571994302,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
17,1644503390.1522286,411.0,350.0,0.06248066766797797,500.0,-61.0,-0.30317683916959465,562.480667667978,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
18,1644503390.172245,411.0,350.0,0.06205595963321787,500.0,-61.0,-0.30317683916959465,562.0559596332179,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
19,1644503390.1757202,413.0,350.0,0.06205595963321787,500.0,-63.0,-0.31249155973451914,562.0559596332179,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
20,1644503390.208909,413.0,350.0,0.06156306617428788,500.0,-63.0,-0.31249155973451914,561.5630661742879,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
21,1644503390.2170002,413.0,350.0,0.06156306617428788,500.0,-63.0,-0.31249155973451914,561.5630661742879,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
22,1644503390.2469203,410.0,352.0,0.06156306617428788,500.0,-58.0,-0.28910274986199147,561.5630661742879,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
23,1644503390.2650526,410.0,352.0,0.06156306617428788,500.0,-58.0,-0.28910274986199147,561.5630661742879,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
24,1644503390.2795234,410.0,352.0,0.060577526582224095,500.0,-58.0,-0.28910274986199147,560.5775265822241,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
25,1644503390.2829533,410.0,352.0,0.060577526582224095,500.0,-58.0,-0.28910274986199147,560.5775265822241,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
26,1644503390.2915606,411.0,348.0,0.060577526582224095,500.0,-63.0,-0.31249155973451914,560.5775265822241,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
27,1644503390.3101535,411.0,348.0,0.060577526582224095,500.0,-63.0,-0.31249155973451914,560.5775265822241,0.0,0.0,1.773,1.358,-0.169921875,1.773,1.358,-0.169921875
