front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
0,0,-0.3,500,0,0.0,0,1642083447.3422863
0,0,-0.3,500,0,0.0,0,1642083447.3425424
108.0,108.0,-0.3,500,0.0,0.0,0,1642083447.3426158
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3426871
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3427646
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3481143
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3482513
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3483179
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3483813
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3484454
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3485172
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3485804
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.348647
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3487122
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3487759
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3488865
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.348946
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.349015
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3490791
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3491356
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3491924
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3492594
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3493156
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3493729
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3494291
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3494842
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3495836
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.349679
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3497474
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.349812
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3498747
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3499503
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3500075
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3501728
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3502517
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3503206
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3504057
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.350481
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.350601
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3507147
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3507795
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.35084
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.350897
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3509526
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3510106
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351067
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3511226
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3511846
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351243
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3513002
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3513677
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3514252
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3514833
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3515394
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351596
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351653
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3517084
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351765
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3518221
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3518775
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.351933
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.35199
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3520453
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3521016
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.352158
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3522172
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3522742
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3523312
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3523977
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.352455
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.352512
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.352567
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3526225
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.35268
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3527348
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.352793
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3528595
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3529146
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3529708
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3530273
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3530838
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3531394
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3531961
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.353256
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.353313
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3533697
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3534358
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3534927
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3535635
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3536205
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.353676
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.353735
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.35379
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3538446
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3539
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3539555
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.354011
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3540668
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3541224
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3541775
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.354233
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3542924
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3543506
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3544085
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3544748
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3545322
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.354589
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3546555
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3547344
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.3548129
108.0,109.0,-0.3,500,1.0,0.005128160174234396,0,1642083447.354888
