,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661456749.9062996,487.5,678.0,-0.3,500.0,-190.5,-0.4867077709673515,628.1790923345646,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661456749.9167566,487.5,678.0,-0.3,500.0,-190.5,-0.4867077709673515,628.1790923345646,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661456749.9257133,487.5,678.0,-0.3,500.0,-190.5,-0.4867077709673515,628.1790923345646,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661456749.9460514,487.5,678.0,-0.3,500.0,-190.5,-0.4867077709673515,628.1790923345646,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661456749.9605002,487.5,678.0,-0.3,500.0,-190.5,-0.4867077709673515,628.1790923345646,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661456749.9995642,487.0,677.0,-0.3,500.0,-190.0,-0.4856220932974687,627.9623070076177,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661456750.0096157,487.0,677.0,-0.3,500.0,-190.0,-0.4856220932974687,627.9623070076177,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661456750.0408406,487.0,677.0,-0.3,500.0,-190.0,-0.4856220932974687,627.9623070076177,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661456750.0512874,487.0,676.5,-0.3,500.0,-189.5,-0.48453517002150565,628.1869772910311,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661456750.0745347,487.0,676.5,-0.3,500.0,-189.5,-0.48453517002150565,628.1869772910311,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
10,1661456750.0899727,487.0,676.5,-0.3,500.0,-189.5,-0.48453517002150565,628.1869772910311,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
11,1661456750.1285727,487.0,676.5,-0.3,500.0,-189.5,-0.48453517002150565,628.1869772910311,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
12,1661456750.1426272,488.0,679.5,-0.3,500.0,-191.5,-0.4888753878415063,628.1682705354979,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
13,1661456750.1683083,488.0,679.5,-0.3,500.0,-191.5,-0.4888753878415063,628.1682705354979,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
14,1661456750.2061422,489.0,676.5,-0.3,500.0,-187.5,-0.4801750296035269,630.8545971172712,0.0,0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
15,1661456750.2105114,489.0,676.5,-0.3,500.0,-187.5,-0.4801750296035269,630.8545971172712,0.0,0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
16,1661456750.241025,489.0,676.5,-0.3,500.0,-187.5,-0.4801750296035269,630.8545971172712,0.0,0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
17,1661456750.2555952,489.0,676.5,-0.3,500.0,-187.5,-0.4801750296035269,630.8545971172712,0.0,0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
