,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661455398.9731061,722.0,605.0,-0.3,500.0,117.0,0.3142318990843383,809.5677510072195,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661455399.008142,722.0,603.0,-0.3,500.0,119.0,0.3192484745471061,807.6574283875864,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661455399.0219395,722.0,603.0,-0.3,500.0,119.0,0.3192484745471061,807.6574283875864,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661455399.0412123,722.0,603.0,-0.3,500.0,119.0,0.3192484745471061,807.6574283875864,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661455399.0817878,722.0,605.0,-0.3,500.0,117.0,0.3142318990843383,809.5677510072195,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661455399.0910726,722.0,605.0,-0.3,500.0,117.0,0.3142318990843383,809.5677510072195,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661455399.1052725,722.0,605.0,-0.3,500.0,117.0,0.3142318990843383,809.5677510072195,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661455399.124708,723.5,605.0,-0.3,500.0,118.5,0.31799587867399265,809.5611213051981,0.0,-0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661455399.1547897,723.5,602.0,-0.3,500.0,121.5,0.325495855236478,806.6712390227266,0.1153528168797493,-0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661455399.1634555,723.5,602.0,-0.3,500.0,121.5,0.325495855236478,806.6712390227266,0.1153528168797493,-0.01922547072172165,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
