,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661454043.245557,625.5,599.0,-0.3,500.0,26.5,0.07347858542403309,780.2915915072019,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661454043.2760863,626.5,601.0,-0.3,500.0,25.5,0.07071522321994636,781.7496270547441,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661454043.2899804,626.5,601.0,-0.3,500.0,25.5,0.07071522321994636,781.7496270547441,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661454043.2997901,626.5,601.0,-0.3,500.0,25.5,0.07071522321994636,781.7496270547441,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661454043.3202329,626.5,601.0,-0.3,500.0,25.5,0.07071522321994636,781.7496270547441,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661454043.3402357,627.5,600.5,-0.3,500.0,27.0,0.07485984771076686,782.053558780022,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661454043.3848174,627.5,604.0,-0.3,500.0,23.5,0.06518529381746185,783.6515758790847,0.0769018828868866,0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661454043.399439,626.5,604.0,-0.3,500.0,22.5,0.06241880999595735,783.0970043921363,0.0769018828868866,0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661454043.4305904,626.5,600.5,-0.3,500.0,26.0,0.07209704219720438,781.5199831020582,0.0769018828868866,0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661454043.457811,625.5,599.0,-0.3,500.0,26.5,0.07347858542403309,780.2915915072019,0.1922547072172165,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
10,1661454043.487946,625.5,599.0,-0.3,500.0,26.5,0.07347858542403309,780.2915915072019,0.1922547072172165,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
11,1661454043.5021398,625.5,599.0,-0.3,500.0,26.5,0.07347858542403309,780.2915915072019,0.1922547072172165,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
12,1661454043.522137,625.5,603.5,-0.3,500.0,22.0,0.06103520658968899,782.3183286515647,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
13,1661454043.5420098,625.5,603.5,-0.3,500.0,22.0,0.06103520658968899,782.3183286515647,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
14,1661454043.5726125,625.5,603.5,-0.3,500.0,22.0,0.06103520658968899,782.3183286515647,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
15,1661454043.586948,625.5,603.5,-0.3,500.0,22.0,0.06103520658968899,782.3183286515647,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
16,1661454043.6115189,626.0,603.5,-0.3,500.0,22.5,0.06241880999595735,782.5979781028949,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
17,1661454043.6308773,627.5,600.5,-0.3,500.0,27.0,0.07485984771076686,782.053558780022,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
18,1661454043.6560218,627.5,601.0,-0.3,500.0,26.5,0.07347858542403309,782.2861948334412,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
19,1661454043.6956117,627.0,600.5,-0.3,500.0,26.5,0.07347858542403309,781.7875440018813,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
20,1661454043.7200444,627.0,600.5,-0.3,500.0,26.5,0.07347858542403309,781.7875440018813,0.2307056337594986,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
21,1661454043.7351415,627.0,600.5,-0.3,500.0,26.5,0.07347858542403309,781.7875440018813,0.2691566050052643,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
22,1661454043.7598798,627.5,599.5,-0.3,500.0,28.0,0.07762150873739347,781.5839586868598,0.2691566050052643,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
23,1661454043.8073876,627.5,599.5,-0.3,500.0,28.0,0.07762150873739347,781.5839586868598,0.28838205337524414,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
24,1661454043.8272073,625.5,600.5,-0.3,500.0,25.0,0.06933313368820859,780.980225420337,0.28838205337524414,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
25,1661454043.8417888,625.5,600.5,-0.3,500.0,25.0,0.06933313368820859,780.980225420337,0.28838205337524414,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
26,1661454043.8512921,625.5,600.5,-0.3,500.0,25.0,0.06933313368820859,780.980225420337,0.28838205337524414,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
27,1661454043.8704283,625.5,600.5,-0.3,500.0,25.0,0.06933313368820859,780.980225420337,0.28838205337524414,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
28,1661454043.8802931,625.5,602.5,-0.3,500.0,23.0,0.06380217414895908,781.8781160813292,0.3460584878921509,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
29,1661454043.893376,625.5,602.5,-0.3,500.0,23.0,0.06380217414895908,781.8781160813292,0.3460584878921509,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
30,1661454043.907553,625.5,602.5,-0.3,500.0,23.0,0.06380217414895908,781.8781160813292,0.3460584878921509,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
31,1661454043.936091,625.5,602.5,-0.3,500.0,23.0,0.06380217414895908,781.8781160813292,0.3460584878921509,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
32,1661454043.952728,625.5,602.5,-0.3,500.0,23.0,0.06380217414895908,781.8781160813292,0.4229603409767151,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
33,1661454043.9833307,628.5,601.0,-0.3,500.0,27.5,0.07624082387413857,782.8165743873478,0.4229603409767151,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
34,1661454043.9978151,628.5,601.0,-0.3,500.0,27.5,0.07624082387413857,782.8165743873478,0.4229603409767151,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
35,1661454044.0285199,628.5,601.0,-0.3,500.0,27.5,0.07624082387413857,782.8165743873478,0.4229603409767151,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
