,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661454855.2738094,485.5,420.5,-0.3,500.0,65.0,0.17863100651394934,620.6040752928786,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661454855.3161051,975.5,903.5,-0.3,500.0,72.0,0.19739555984988078,1096.7794857602942,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661454855.3408656,975.5,903.5,-0.3,500.0,72.0,0.19739555984988078,1096.7794857602942,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661454855.3550694,975.5,906.0,-0.3,500.0,69.5,0.19070937973295507,1098.9716517910535,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661454855.4025953,973.5,906.0,-0.3,500.0,67.5,0.18534794999569473,1098.728245969205,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661454855.4230056,975.0,906.0,-0.3,500.0,69.0,0.18937004997584464,1098.9138067620272,0.1153528168797493,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661454855.447602,972.0,902.0,-0.3,500.0,70.0,0.1920480172407301,1095.1010355519325,0.1153528168797493,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661454855.4658766,972.0,902.0,-0.3,500.0,70.0,0.1920480172407301,1095.1010355519325,0.1153528168797493,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661454855.4892247,972.0,902.0,-0.3,500.0,70.0,0.1920480172407301,1095.1010355519325,0.1153528168797493,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661454855.5130665,974.0,904.5,-0.3,500.0,69.5,0.19070937973295507,1097.4988467679923,0.21148017048835754,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
10,1661454855.5266795,974.0,904.5,-0.3,500.0,69.5,0.19070937973295507,1097.4988467679923,0.21148017048835754,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
11,1661454855.533903,974.0,904.5,-0.3,500.0,69.5,0.19070937973295507,1097.4988467679923,0.21148017048835754,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
12,1661454855.5687878,973.5,904.5,-0.3,500.0,69.0,0.18937004997584464,1097.4406222441364,0.24993112683296204,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
13,1661454855.609976,972.5,903.5,-0.3,500.0,69.0,0.18937004997584464,1096.4584992322095,0.24993112683296204,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
14,1661454855.6237664,972.5,903.5,-0.3,500.0,69.0,0.18937004997584464,1096.4584992322095,0.24993112683296204,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
