,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661452934.9918017,137.0,260.0,0.3,500.0,-123.0,-0.32923171158386993,321.34465982587454,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
1,1661452935.0219307,137.0,260.0,0.3,500.0,-123.0,-0.32923171158386993,321.34465982587454,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
2,1661452935.0366564,137.0,260.0,0.3,500.0,-123.0,-0.32923171158386993,321.34465982587454,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
3,1661452935.057476,137.0,260.0,0.3,500.0,-123.0,-0.32923171158386993,321.34465982587454,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
4,1661452935.061692,139.0,260.0,0.3,500.0,-121.0,-0.3242484676026597,323.2043062286276,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
5,1661452935.0758445,140.0,260.5,0.3,500.0,-120.5,-0.3230000331300044,324.14308514332515,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
6,1661452935.0961459,140.0,260.5,0.3,500.0,-120.5,-0.3230000331300044,324.14308514332515,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
7,1661452935.1106155,140.0,260.5,0.3,500.0,-120.5,-0.3230000331300044,324.14308514332515,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
8,1661452935.1192527,140.0,260.5,0.3,500.0,-120.5,-0.3230000331300044,324.14308514332515,0.0,-0.0,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
9,1661452935.1279018,140.0,260.5,0.3,500.0,-120.5,-0.3230000331300044,324.14308514332515,0.0,0.05767640843987465,1.436,0.931,-0.00341796875,2.479,1.1,0.1697998046875
10,1661452935.1427062,140.0,261.0,0.3,500.0,-121.0,-0.3242484676026597,324.1521966583002,0.0,0.05767640843987465,1.436,0.932,-0.0032958984375,2.479,1.1,0.1697998046875
11,1661452935.145699,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0032958984375,2.479,1.1,0.1697998046875
12,1661452935.1595693,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0029296875,2.479,1.1,0.1697998046875
13,1661452935.1629941,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0029296875,2.479,1.1,0.1697998046875
14,1661452935.1764786,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0028076171875,2.479,1.1,0.1697998046875
15,1661452935.1804397,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0028076171875,2.479,1.1,0.1697998046875
16,1661452935.194503,140.0,261.5,0.3,500.0,-121.5,-0.325495855236478,324.1607959484955,0.0,0.05767640843987465,1.436,0.932,-0.0028076171875,2.479,1.1,0.1697998046875
17,1661452935.209906,136.0,262.0,0.3,500.0,-126.0,-0.3366748193867272,320.4399119862629,0.0,0.05767640843987465,1.437,0.932,-0.00238037109375,2.479,1.1,0.1697998046875
18,1661452935.2331426,136.0,262.0,0.3,500.0,-126.0,-0.3366748193867272,320.4399119862629,0.0,0.01922547072172165,1.437,0.932,-0.00238037109375,2.479,1.1,0.1697998046875
19,1661452935.2421296,136.0,261.5,0.3,500.0,-125.5,-0.3354369664570496,320.4342336219504,0.0,0.01922547072172165,1.437,0.933,-0.00238037109375,2.479,1.1,0.1697998046875
20,1661452935.2617283,136.0,261.5,0.3,500.0,-125.5,-0.3354369664570496,320.4342336219504,0.0,0.01922547072172165,1.437,0.934,-0.0023193359375,2.479,1.1,0.1697998046875
21,1661452935.3201513,138.5,258.5,0.3,500.0,-120.0,-0.3217505543966422,322.7104352201831,0.0,0.01922547072172165,1.438,0.935,-0.002197265625,2.479,1.1,0.1697998046875
22,1661452935.3346872,138.5,258.5,0.3,500.0,-120.0,-0.3217505543966422,322.7104352201831,0.0,0.01922547072172165,1.438,0.935,-0.002197265625,2.479,1.1,0.1697998046875
23,1661452935.370271,138.5,260.0,0.3,500.0,-121.5,-0.325495855236478,322.73955753001474,0.0,0.0769018828868866,1.438,0.935,-0.002197265625,2.479,1.1,0.1697998046875
24,1661452935.3843052,139.5,258.5,0.3,500.0,-119.0,-0.3192484745471061,323.6379291298721,0.0,0.0769018828868866,1.438,0.935,-0.002197265625,2.479,1.1,0.1697998046875
25,1661452935.398101,139.5,258.5,0.3,500.0,-119.0,-0.3192484745471061,323.6379291298721,0.0,0.0769018828868866,1.438,0.935,-0.002197265625,2.479,1.1,0.1697998046875
26,1661452935.4168103,139.5,258.5,0.3,500.0,-119.0,-0.3192484745471061,323.6379291298721,0.0,0.0769018828868866,1.44,0.938,-0.00140380859375,2.479,1.1,0.1697998046875
27,1661452935.43773,138.5,259.5,0.3,500.0,-121.0,-0.3242484676026597,322.73036101379137,0.0,0.09612735360860825,1.44,0.938,-0.00140380859375,2.479,1.1,0.1697998046875
28,1661452935.4471254,138.5,259.5,0.3,500.0,-121.0,-0.3242484676026597,322.73036101379137,0.0,0.09612735360860825,1.442,0.94,-0.00030517578125,2.479,1.1,0.1697998046875
29,1661452935.455825,138.5,259.5,0.3,500.0,-121.0,-0.3242484676026597,322.73036101379137,0.0,0.09612735360860825,1.443,0.941,0.00030517578125,2.479,1.1,0.1697998046875
30,1661452935.469358,138.5,259.5,0.3,500.0,-121.0,-0.3242484676026597,322.73036101379137,0.0,0.09612735360860825,1.443,0.941,0.00030517578125,2.479,1.1,0.1697998046875
31,1661452935.5062666,137.0,259.0,0.3,500.0,-122.0,-0.3267421934706821,321.3276052817674,0.0,0.17302924394607544,1.444,0.942,0.0008544921875,2.479,1.1,0.1697998046875
32,1661452935.5313182,136.0,259.0,0.3,500.0,-123.0,-0.32923171158386993,320.39836880307445,0.0,0.17302924394607544,1.446,0.942,0.001220703125,2.479,1.1,0.1697998046875
33,1661452935.5457346,136.0,259.0,0.3,500.0,-123.0,-0.32923171158386993,320.39836880307445,0.0,0.17302924394607544,1.448,0.943,0.0018310546875,2.479,1.1,0.1697998046875
34,1661452935.5767994,137.5,255.0,0.3,500.0,-117.5,-0.3154875882689748,321.70097738338086,0.0,0.1922547072172165,1.45,0.942,0.00250244140625,2.479,1.1,0.1697998046875
35,1661452935.6074672,137.5,255.0,0.3,500.0,-117.5,-0.3154875882689748,321.70097738338086,0.0,0.1922547072172165,1.452,0.942,0.00311279296875,2.479,1.1,0.1697998046875
36,1661452935.6339233,137.5,255.0,0.3,500.0,-117.5,-0.3154875882689748,321.70097738338086,0.0,0.28838205337524414,1.453,0.942,0.00372314453125,2.479,1.1,0.1697998046875
37,1661452935.6595798,136.0,254.5,0.3,500.0,-118.5,-0.31799587867399265,320.3020364078694,0.0,0.28838205337524414,1.454,0.941,0.00408935546875,2.479,1.1,0.1697998046875
38,1661452935.6960797,136.0,254.5,0.3,500.0,-118.5,-0.31799587867399265,320.3020364078694,0.0,0.28838205337524414,1.453,0.941,0.00469970703125,2.479,1.1,0.1697998046875
39,1661452935.7214806,136.0,249.0,0.3,500.0,-113.0,-0.30414968983488244,320.1277070729302,0.0,0.36528393626213074,1.452,0.94,0.00506591796875,2.479,1.1,0.1697998046875
40,1661452935.7353792,136.0,249.0,0.3,500.0,-113.0,-0.30414968983488244,320.1277070729302,0.0,0.36528393626213074,1.451,0.94,0.00567626953125,2.479,1.1,0.1697998046875
41,1661452935.771285,136.0,249.0,0.3,500.0,-113.0,-0.30414968983488244,320.1277070729302,0.0,0.36528393626213074,1.45,0.939,0.00592041015625,2.479,1.1,0.1697998046875
42,1661452935.8191054,135.0,252.0,0.3,500.0,-117.0,-0.3142318990843383,319.30968857641585,0.0,0.4614112675189972,1.449,0.938,0.00604248046875,2.479,1.1,0.1697998046875
