,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661456576.81512,1209.5,805.0,-0.3,500.0,404.5,0.8435405363013101,831.627951594293,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661456576.8322275,1209.5,805.0,-0.3,500.0,404.5,0.8435405363013101,831.627951594293,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661456576.8842976,1208.5,804.5,-0.3,500.0,404.0,0.8429262396459566,831.6381688435084,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661456576.893867,1208.5,804.5,-0.3,500.0,404.0,0.8429262396459566,831.6381688435084,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661456576.8970108,1208.5,804.5,-0.3,500.0,404.0,0.8429262396459566,831.6381688435084,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661456576.905685,1208.5,804.5,-0.3,500.0,404.0,0.8429262396459566,831.6381688435084,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661456576.9256418,1208.5,804.5,-0.3,500.0,404.0,0.8429262396459566,831.6381688435084,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661456576.9411747,1203.0,805.5,-0.3,500.0,397.5,0.8348627319990395,836.7777827452574,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661456576.9513104,1203.0,804.5,-0.3,500.0,398.5,0.8361127150721943,835.4173873969436,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661456576.9718683,1203.0,804.5,-0.3,500.0,398.5,0.8361127150721943,835.4173873969436,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
10,1661456576.9968195,1203.0,804.5,-0.3,500.0,398.5,0.8361127150721943,835.4173873969436,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
11,1661456577.0132205,1214.5,803.5,-0.3,500.0,411.0,0.8514497982935894,826.1972247235611,0.2307056337594986,-0.0769018828868866,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
12,1661456577.0282733,1214.5,803.5,-0.3,500.0,411.0,0.8514497982935894,826.1972247235611,0.2307056337594986,-0.0769018828868866,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
13,1661456577.0484898,1214.5,803.5,-0.3,500.0,411.0,0.8514497982935894,826.1972247235611,0.2307056337594986,-0.0769018828868866,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
14,1661456577.0713453,1208.0,803.5,-0.3,500.0,404.5,0.8435405363013101,830.6307182764427,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
15,1661456577.0762126,1208.0,805.5,-0.3,500.0,402.5,0.8410782557121699,833.3336620242115,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
16,1661456577.0861568,1208.0,805.5,-0.3,500.0,402.5,0.8410782557121699,833.3336620242115,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
17,1661456577.1123915,1201.5,805.5,-0.3,500.0,396.0,0.8329812666744318,837.8139649224071,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
18,1661456577.1271353,1201.5,805.5,-0.3,500.0,396.0,0.8329812666744318,837.8139649224071,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
19,1661456577.1318512,1201.5,805.5,-0.3,500.0,396.0,0.8329812666744318,837.8139649224071,0.5190876722335815,-0.09612735360860825,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
20,1661456577.1464474,1201.5,805.5,-0.3,500.0,396.0,0.8329812666744318,837.8139649224071,0.5190876722335815,-0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
21,1661456577.1560886,1207.5,803.5,-0.3,500.0,404.0,0.8429262396459566,830.9728878764765,0.557538628578186,-0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
22,1661456577.1751015,1207.5,803.5,-0.3,500.0,404.0,0.8429262396459566,830.9728878764765,0.557538628578186,-0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
23,1661456577.191654,1207.5,803.5,-0.3,500.0,404.0,0.8429262396459566,830.9728878764765,0.557538628578186,-0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
24,1661456577.2072434,1207.5,803.5,-0.3,500.0,404.0,0.8429262396459566,830.9728878764765,0.557538628578186,-0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
25,1661456577.2256446,1184.0,803.5,-0.3,500.0,380.5,0.8130750915742536,847.2199917000411,0.4614112675189972,-0.0384509414434433,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
26,1661456577.244304,1184.0,797.0,-0.3,500.0,387.0,0.8215270139102239,838.2686772039212,0.4614112675189972,-0.0384509414434433,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
27,1661456577.3021555,1175.5,795.0,-0.3,500.0,380.5,0.8130750915742536,841.3782143199986,0.4806367754936218,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
28,1661456577.3339047,1158.5,789.5,-0.3,500.0,369.0,0.7977432152416728,845.4956039002028,0.4806367754936218,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
29,1661456577.3609004,1158.5,789.5,-0.3,500.0,369.0,0.7977432152416728,845.4956039002028,0.4806367754936218,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
30,1661456577.3649397,1141.5,784.0,-0.3,500.0,357.5,0.781913856940307,849.5380606533913,0.4998622536659241,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
31,1661456577.3742492,1141.5,784.0,-0.3,500.0,357.5,0.781913856940307,849.5380606533913,0.4998622536659241,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
32,1661456577.3942637,1141.5,780.0,-0.3,500.0,361.5,0.7874771624811362,843.9690764520012,0.4998622536659241,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
33,1661456577.4113417,1141.5,780.0,-0.3,500.0,361.5,0.7874771624811362,843.9690764520012,0.4998622536659241,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
34,1661456577.4271493,1141.5,780.0,-0.3,500.0,361.5,0.7874771624811362,843.9690764520012,0.5190876722335815,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
35,1661456577.4467852,1124.0,771.0,-0.3,500.0,353.0,0.7755808070008804,843.3503092243795,0.5190876722335815,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
36,1661456577.4666235,1124.0,771.0,-0.3,500.0,353.0,0.7755808070008804,843.3503092243795,0.5190876722335815,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
37,1661456577.4765635,1124.0,771.0,-0.3,500.0,353.0,0.7755808070008804,843.3503092243795,0.5190876722335815,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
38,1661456577.5025766,1110.0,771.0,-0.3,500.0,339.0,0.7553642787326982,852.8169390725468,0.5767641067504883,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
39,1661456577.5564349,1110.0,764.5,-0.3,500.0,345.5,0.7648482571856626,843.72945386114,0.5767641067504883,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
40,1661456577.5822897,1086.5,752.0,-0.3,500.0,334.5,0.7486975873752405,841.9435184054372,0.5767641067504883,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
41,1661456577.6031604,1086.5,752.0,-0.3,500.0,334.5,0.7486975873752405,841.9435184054372,0.6728914976119995,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
