,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661455778.0848162,371.0,178.0,0.23873710163347892,500.0,193.0,0.49211746114270855,420.4209661221737,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
1,1661455778.0997274,371.0,178.0,0.23873710163347892,500.0,193.0,0.49211746114270855,420.4209661221737,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
2,1661455778.1505864,376.5,177.0,0.23905024287146,500.0,199.5,0.5060365578888787,420.31658570951333,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
3,1661455778.1709123,378.5,179.5,0.23265576647208264,500.0,199.0,0.5049733600118694,422.4480778426391,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
4,1661455778.1963477,378.5,179.5,0.23265576647208264,500.0,199.0,0.5049733600118694,422.4480778426391,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
5,1661455778.2119067,376.5,180.0,0.23219151621905879,500.0,196.5,0.4996386072526931,422.6028279269804,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
6,1661455778.231079,376.5,180.0,0.23219151621905879,500.0,196.5,0.4996386072526931,422.6028279269804,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
7,1661455778.2609072,376.5,180.0,0.23219151621905879,500.0,196.5,0.4996386072526931,422.6028279269804,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
8,1661455778.275495,376.5,180.0,0.23219151621905879,500.0,196.5,0.4996386072526931,422.6028279269804,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
9,1661455778.284824,376.5,178.5,0.23562044377959832,500.0,198.0,0.5028432109278609,421.45985207346723,0.0,0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
10,1661455778.3187454,374.5,178.5,0.2363183744181236,500.0,196.0,0.498567905638218,421.22720852729213,0.0,0.05767640843987465,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
11,1661455778.3508499,374.5,178.5,0.2363183744181236,500.0,196.0,0.498567905638218,421.22720852729213,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
12,1661455778.3764057,378.0,178.5,0.23511421657677284,500.0,199.5,0.5060365578888787,421.62859447440906,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
13,1661455778.4004905,378.0,178.5,0.23511421657677284,500.0,199.5,0.5060365578888787,421.62859447440906,0.0,-0.0,1.376,0.988,0.0272216796875,2.479,1.1,0.1697998046875
