front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1268656,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.127051,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1271355,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1272216,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1331604,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1491272,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.149378,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1494904,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.149579,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1496606,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.149783,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1499255,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1501262,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.150472,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1507363,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.150855,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1509545,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.151037,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1511238,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1512399,0.0,0.0
267.0,265.0,-0.08212967044527414,500,-2.0,-0.010256050641667055,417.87032955472586,1642518644.1513705,0.0,0.0
