front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.234247,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2343743,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2453406,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2455766,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2456768,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2458005,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2566562,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.257083,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2571812,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2572675,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2573488,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2574282,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2575068,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2575865,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.257666,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2578096,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2579398,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.258147,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.258315,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2584078,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2585196,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.258617,0.0,0.0
289.0,181.0,-0.07381510964374065,500,-108.0,-0.5057913155944035,426.18489035625936,1642519357.2647755,0.0,0.0
289.0,181.0,-0.07461194043155558,500,-108.0,-0.5057913155944035,425.3880595684444,1642519357.2650218,0.0,0.0
289.0,181.0,-0.07461194043155558,500,-108.0,-0.5057913155944035,425.3880595684444,1642519357.2651482,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2652428,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2653322,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.265421,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2655067,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2655919,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.265677,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2658064,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.265989,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.266142,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2662163,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2662878,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2663734,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2664435,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2665126,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2665832,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2666821,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2667742,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2668436,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2669117,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2669845,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2670538,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2671375,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2672126,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.26729,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2673616,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2674325,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2675014,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2675717,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2676394,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2677095,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2677798,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2678492,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2679183,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2679865,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.268056,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2681375,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.268214,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2682855,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2683544,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2684233,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2684922,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2685618,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2686322,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2686992,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2687695,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.268839,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2689075,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2689788,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2952764,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2955399,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2956626,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2957606,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2958722,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2959652,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2960773,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.296171,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.296279,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2965262,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2966602,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.296758,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2968936,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.2969892,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.308086,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.308354,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3084595,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3085835,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.314236,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3145466,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3146508,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.314758,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3148634,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3149486,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.315035,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.31514,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3152292,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3153312,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3154423,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3155255,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3156123,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3156972,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3157904,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.315879,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3159654,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3160472,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3161283,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3162093,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3163016,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.316386,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3164935,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3165784,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3166661,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3167493,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3168387,0.0,0.0
284.0,183.0,-0.07461194043155558,500,-101.0,-0.47790326237158354,425.3880595684444,1642519357.3333387,0.1202201247215271,0.08014675229787827
284.0,183.0,-0.07328121274766215,500,-101.0,-0.47790326237158354,426.71878725233785,1642519357.3335862,0.1202201247215271,0.08014675229787827
284.0,183.0,-0.07328121274766215,500,-101.0,-0.47790326237158354,426.71878725233785,1642519357.333694,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3338358,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.333945,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3340394,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3341498,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3342533,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.334342,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3344305,0.1202201247215271,0.08014675229787827
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.351476,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3517504,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3518915,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3519928,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3521183,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3522093,0.6812474131584167,0.761394202709198
289.0,182.0,-0.07328121274766215,500,-107.0,-0.5018583776831286,426.71878725233785,1642519357.3522825,0.6812474131584167,0.761394202709198
