front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
450.0,448.0,0.09854597577855861,500,-2.0,-0.010256050641667055,598.5459757785586,1642518841.8573327,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8574197,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8575091,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8575935,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8576822,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.862993,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8633134,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.863432,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.863521,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8636143,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.863705,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8637948,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8638847,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.863977,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8640687,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8641727,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8642848,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.864389,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8644803,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.864564,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.864649,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8647327,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.864818,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8649015,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.86501,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8650935,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8651793,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8652618,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.86536,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8654501,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8655367,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8656194,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8657062,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.865867,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8659585,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8660412,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.866128,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8662026,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8662727,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.866355,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.866427,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8664992,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8665721,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8666403,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8667111,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8667817,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8668528,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.866921,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8669913,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.867073,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8671448,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8672128,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8672824,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8673613,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8674335,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.867506,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8675783,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8676472,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.867718,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8677893,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8789027,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8792179,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.8795447,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9009097,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9011543,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9012542,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9013429,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.901428,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9015136,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9015985,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9016855,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.901838,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9019551,0.0,0.0
449.0,450.0,0.09854597577855861,500,1.0,0.005128160174234396,598.5459757785586,1642518841.9133599,0.0,0.0
449.0,450.0,0.10326707320933065,500,1.0,0.005128160174234396,603.2670732093306,1642518841.9141111,0.0,0.0
449.0,450.0,0.10326707320933065,500,1.0,0.005128160174234396,603.2670732093306,1642518841.9142864,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9144604,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.914613,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9147518,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9148467,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9149485,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9150825,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9151754,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9152799,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9153697,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9154859,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.91562,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9157093,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9157965,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.915895,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9159842,0.0,0.0
452.0,449.0,0.10326707320933065,500,-3.0,-0.01538340178059515,603.2670732093306,1642518841.9214685,0.0,0.0
