pid_align,output_align,error,angle,distance
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.600097627650075,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.6002494276500329,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600399939150111,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.600557040150079,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6007098774000497,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6008611431000644,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6010163897999973,0,0.0,150.0
-0.3,-0.6011702013001013,0,0.0,150.0
-0.3,-0.6011702013001013,0,0.0,150.0
-0.3,-0.6011702013001013,0,0.0,150.0
-0.3,-0.6011702013001013,0,0.0,150.0
-0.3,-0.6011702013001013,0,0.0,150.0
