Full Time,9.662449836730957,,,,,,,,,,,,,,,
Full Distance,1320,,,,,,,,,,,,,,,
Base Speed,2.5,,,,,,,,,,,,,,,
int,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2,,,,,
29,1644502850.3828006,677.0,692.0,0.3,500.0,15.0,0.07677189126977804,817.8914641068359,1.4827147722244263,2.003668785095215,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
30,1644502850.391667,677.0,692.0,0.3,500.0,15.0,0.07677189126977804,812.5149711039251,1.4827147722244263,2.003668785095215,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
31,1644502850.3944418,677.0,692.0,0.3,500.0,15.0,0.07677189126977804,812.5149711039251,1.4827147722244263,2.003668785095215,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
32,1644502850.4029381,674.0,692.0,0.3,500.0,18.0,0.09204684886340674,812.5149711039251,1.7231550216674805,2.404402494430542,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
33,1644502850.427322,674.0,692.0,0.3,500.0,18.0,0.09204684886340674,813.3304723147922,1.883448600769043,2.8051364421844482,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
34,1644502850.4300761,674.0,692.0,0.3,500.0,18.0,0.09204684886340674,813.3304723147922,1.883448600769043,2.8051364421844482,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
35,1644502850.4379327,674.0,691.0,0.3,500.0,17.0,0.08695962656792519,813.3304723147922,1.883448600769043,2.8051364421844482,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
36,1644502850.440877,674.0,691.0,0.3,500.0,17.0,0.08695962656792519,813.3304723147922,1.883448600769043,2.8051364421844482,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
37,1644502850.4500139,674.0,691.0,0.3,500.0,17.0,0.08695962656792519,813.3304723147922,2.0437421798706055,3.1657965183258057,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
38,1644502850.4649618,674.0,691.0,0.3,500.0,17.0,0.08695962656792519,813.510737782943,2.204035520553589,3.566530227661133,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
39,1644502850.4736917,674.0,691.0,0.3,500.0,17.0,0.08695962656792519,813.510737782943,2.204035520553589,3.566530227661133,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
40,1644502850.481964,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.3643290996551514,3.847043991088867,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
